pi,ri,ty,ct,st,rn,lt,et,cs,cr,con
B1fyfEwio-,4-20200812132338292,4,20200812T132338,142891,4-20200812132338292,20200812T132338,20220812T132338,2,Sfilab13,56,4-20200812132338292
B1fyfEwio-,4-20200812131904783,4,20200812T131904,142890,4-20200812131904782,20200812T131904,20220812T131904,2,Sfilab13,56,4-20200812131904783
B1fyfEwio-,4-20200812131343772,4,20200812T131343,142889,4-20200812131343771,20200812T131343,20220812T131343,2,Sfilab13,56,4-20200812131343772
B1fyfEwio-,4-20200812130825260,4,20200812T130825,142888,4-20200812130825260,20200812T130825,20220812T130825,2,Sfilab13,56,4-20200812130825260
B1fyfEwio-,4-20200812130345751,4,20200812T130345,142887,4-20200812130345750,20200812T130345,20220812T130345,2,Sfilab13,56,4-20200812130345751
B1fyfEwio-,4-20200812125826732,4,20200812T125826,142886,4-20200812125826732,20200812T125826,20220812T125826,2,Sfilab13,56,4-20200812125826732
B1fyfEwio-,4-20200812125305534,4,20200812T125305,142885,4-20200812125305534,20200812T125305,20220812T125305,2,Sfilab13,56,4-20200812125305534
B1fyfEwio-,4-20200812124828219,4,20200812T124828,142884,4-20200812124828218,20200812T124828,20220812T124828,2,Sfilab13,56,4-20200812124828219
B1fyfEwio-,4-20200812124312709,4,20200812T124312,142883,4-20200812124312709,20200812T124312,20220812T124312,2,Sfilab13,56,4-20200812124312709
B1fyfEwio-,4-20200812123757014,4,20200812T123757,142882,4-20200812123757013,20200812T123757,20220812T123757,2,Sfilab13,56,4-20200812123757014
B1fyfEwio-,4-20200812123328187,4,20200812T123328,142881,4-20200812123328187,20200812T123328,20220812T123328,2,Sfilab13,56,4-20200812123328187
B1fyfEwio-,4-20200812122803176,4,20200812T122803,142880,4-20200812122803176,20200812T122803,20220812T122803,2,Sfilab13,56,4-20200812122803176
B1fyfEwio-,4-20200812122240164,4,20200812T122240,142879,4-20200812122240164,20200812T122240,20220812T122240,2,Sfilab13,56,4-20200812122240164
B1fyfEwio-,4-20200812121809330,4,20200812T121809,142878,4-20200812121809330,20200812T121809,20220812T121809,2,Sfilab13,55,4-20200812121809330
B1fyfEwio-,4-20200812121252144,4,20200812T121252,142877,4-20200812121252144,20200812T121252,20220812T121252,2,Sfilab13,56,4-20200812121252144
B1fyfEwio-,4-20200812120736555,4,20200812T120736,142876,4-20200812120736554,20200812T120736,20220812T120736,2,Sfilab13,55,4-20200812120736555
B1fyfEwio-,4-20200812120257805,4,20200812T120257,142875,4-20200812120257805,20200812T120257,20220812T120257,2,Sfilab13,55,4-20200812120257805
B1fyfEwio-,4-20200812115737612,4,20200812T115737,142874,4-20200812115737611,20200812T115737,20220812T115737,2,Sfilab13,55,4-20200812115737612
B1fyfEwio-,4-20200812115219101,4,20200812T115219,142873,4-20200812115219101,20200812T115219,20220812T115219,2,Sfilab13,55,4-20200812115219101
B1fyfEwio-,4-20200812114744590,4,20200812T114744,142872,4-20200812114744590,20200812T114744,20220812T114744,2,Sfilab13,55,4-20200812114744590
B1fyfEwio-,4-20200812114227771,4,20200812T114227,142871,4-20200812114227771,20200812T114227,20220812T114227,2,Sfilab13,54,4-20200812114227771
B1fyfEwio-,4-20200812113706908,4,20200812T113706,142870,4-20200812113706908,20200812T113706,20220812T113706,2,Sfilab13,54,4-20200812113706908
B1fyfEwio-,4-20200812113233067,4,20200812T113233,142869,4-20200812113233067,20200812T113233,20220812T113233,2,Sfilab13,54,4-20200812113233067
