pi,ri,ty,ct,st,rn,lt,et,cs,cr,con
H1MGbVvjjb,4-20200812144121989,4,20200812T144121,74672,4-20200812144121988,20200812T144121,20220812T144121,5,Sfilab05,19.70,4-20200812144121989
H1MGbVvjjb,4-20200812143619978,4,20200812T143619,74671,4-20200812143619977,20200812T143619,20220812T143619,5,Sfilab05,19.60,4-20200812143619978
H1MGbVvjjb,4-20200812143119968,4,20200812T143119,74670,4-20200812143119968,20200812T143119,20220812T143119,5,Sfilab05,19.70,4-20200812143119968
H1MGbVvjjb,4-20200812142614261,4,20200812T142614,74669,4-20200812142614261,20200812T142614,20220812T142614,5,Sfilab05,19.70,4-20200812142614261
H1MGbVvjjb,4-20200812142109292,4,20200812T142109,74668,4-20200812142109291,20200812T142109,20220812T142109,5,Sfilab05,19.70,4-20200812142109292
H1MGbVvjjb,4-20200812141606935,4,20200812T141606,74667,4-20200812141606935,20200812T141606,20220812T141606,5,Sfilab05,19.60,4-20200812141606935
H1MGbVvjjb,4-20200812141102925,4,20200812T141102,74666,4-20200812141102925,20200812T141102,20220812T141102,5,Sfilab05,19.70,4-20200812141102925
H1MGbVvjjb,4-20200812140554392,4,20200812T140554,74665,4-20200812140554391,20200812T140554,20220812T140554,5,Sfilab05,19.70,4-20200812140554392
H1MGbVvjjb,4-20200812140047424,4,20200812T140047,74664,4-20200812140047424,20200812T140047,20220812T140047,5,Sfilab05,19.70,4-20200812140047424
H1MGbVvjjb,4-20200812135540455,4,20200812T135540,74663,4-20200812135540455,20200812T135540,20220812T135540,5,Sfilab05,19.70,4-20200812135540455
H1MGbVvjjb,4-20200812135040383,4,20200812T135040,74662,4-20200812135040383,20200812T135040,20220812T135040,5,Sfilab05,19.70,4-20200812135040383
H1MGbVvjjb,4-20200812134532524,4,20200812T134532,74661,4-20200812134532523,20200812T134532,20220812T134532,5,Sfilab05,19.70,4-20200812134532524
H1MGbVvjjb,4-20200812134030553,4,20200812T134030,74660,4-20200812134030553,20200812T134030,20220812T134030,5,Sfilab05,19.70,4-20200812134030553
H1MGbVvjjb,4-20200812133522351,4,20200812T133522,74659,4-20200812133522350,20200812T133522,20220812T133522,5,Sfilab05,19.80,4-20200812133522351
H1MGbVvjjb,4-20200812133022342,4,20200812T133022,74658,4-20200812133022341,20200812T133022,20220812T133022,5,Sfilab05,19.80,4-20200812133022342
H1MGbVvjjb,4-20200812132518652,4,20200812T132518,74657,4-20200812132518651,20200812T132518,20220812T132518,5,Sfilab05,19.80,4-20200812132518652
H1MGbVvjjb,4-20200812132014320,4,20200812T132014,74656,4-20200812132014319,20200812T132014,20220812T132014,5,Sfilab05,19.80,4-20200812132014320
H1MGbVvjjb,4-20200812131504719,4,20200812T131504,74655,4-20200812131504718,20200812T131504,20220812T131504,5,Sfilab05,19.90,4-20200812131504719
H1MGbVvjjb,4-20200812131001751,4,20200812T131001,74654,4-20200812131001751,20200812T131001,20220812T131001,5,Sfilab05,19.90,4-20200812131001751
H1MGbVvjjb,4-20200812130458784,4,20200812T130458,74653,4-20200812130458784,20200812T130458,20220812T130458,5,Sfilab05,19.90,4-20200812130458784
H1MGbVvjjb,4-20200812125952778,4,20200812T125952,74652,4-20200812125952778,20200812T125952,20220812T125952,5,Sfilab05,19.90,4-20200812125952778
H1MGbVvjjb,4-20200812125448766,4,20200812T125448,74651,4-20200812125448766,20200812T125448,20220812T125448,5,Sfilab05,19.90,4-20200812125448766
H1MGbVvjjb,4-20200812124946756,4,20200812T124946,74650,4-20200812124946756,20200812T124946,20220812T124946,5,Sfilab05,19.90,4-20200812124946756
H1MGbVvjjb,4-20200812124443916,4,20200812T124443,74649,4-20200812124443915,20200812T124443,20220812T124443,5,Sfilab05,19.90,4-20200812124443916
H1MGbVvjjb,4-20200812123938948,4,20200812T123938,74648,4-20200812123938948,20200812T123938,20220812T123938,5,Sfilab05,19.90,4-20200812123938948
H1MGbVvjjb,4-20200812123431727,4,20200812T123431,74647,4-20200812123431727,20200812T123431,20220812T123431,5,Sfilab05,19.80,4-20200812123431727
H1MGbVvjjb,4-20200812122929014,4,20200812T122929,74646,4-20200812122929013,20200812T122929,20220812T122929,5,Sfilab05,19.90,4-20200812122929014
H1MGbVvjjb,4-20200812122420046,4,20200812T122420,74645,4-20200812122420046,20200812T122420,20220812T122420,5,Sfilab05,19.90,4-20200812122420046
H1MGbVvjjb,4-20200812121918083,4,20200812T121918,74644,4-20200812121918083,20200812T121918,20220812T121918,5,Sfilab05,19.90,4-20200812121918083
H1MGbVvjjb,4-20200812121415111,4,20200812T121415,74643,4-20200812121415111,20200812T121415,20220812T121415,5,Sfilab05,19.90,4-20200812121415111
H1MGbVvjjb,4-20200812120915144,4,20200812T120915,74642,4-20200812120915144,20200812T120915,20220812T120915,5,Sfilab05,19.80,4-20200812120915144
H1MGbVvjjb,4-20200812120410175,4,20200812T120410,74641,4-20200812120410175,20200812T120410,20220812T120410,5,Sfilab05,19.90,4-20200812120410175
H1MGbVvjjb,4-20200812115905153,4,20200812T115905,74640,4-20200812115905153,20200812T115905,20220812T115905,5,Sfilab05,19.80,4-20200812115905153
H1MGbVvjjb,4-20200812115358242,4,20200812T115358,74639,4-20200812115358242,20200812T115358,20220812T115358,5,Sfilab05,19.90,4-20200812115358242
H1MGbVvjjb,4-20200812114849276,4,20200812T114849,74638,4-20200812114849276,20200812T114849,20220812T114849,5,Sfilab05,19.80,4-20200812114849276
H1MGbVvjjb,4-20200812114347307,4,20200812T114347,74637,4-20200812114347306,20200812T114347,20220812T114347,5,Sfilab05,19.80,4-20200812114347307
H1MGbVvjjb,4-20200812113846345,4,20200812T113846,74636,4-20200812113846345,20200812T113846,20220812T113846,5,Sfilab05,19.80,4-20200812113846345
H1MGbVvjjb,4-20200812113341371,4,20200812T113341,74635,4-20200812113341371,20200812T113341,20220812T113341,5,Sfilab05,19.70,4-20200812113341371
H1MGbVvjjb,4-20200812112838404,4,20200812T112838,74634,4-20200812112838404,20200812T112838,20220812T112838,5,Sfilab05,19.70,4-20200812112838404
H1MGbVvjjb,4-20200812112334443,4,20200812T112334,74633,4-20200812112334443,20200812T112334,20220812T112334,5,Sfilab05,19.60,4-20200812112334443
H1MGbVvjjb,4-20200812111830484,4,20200812T111830,74632,4-20200812111830483,20200812T111830,20220812T111830,5,Sfilab05,19.60,4-20200812111830484
H1MGbVvjjb,4-20200812111330504,4,20200812T111330,74631,4-20200812111330504,20200812T111330,20220812T111330,5,Sfilab05,19.70,4-20200812111330504
H1MGbVvjjb,4-20200812110825045,4,20200812T110825,74630,4-20200812110825045,20200812T110825,20220812T110825,5,Sfilab05,19.70,4-20200812110825045
